tc_id,description,method,path,body,auth_mode,content_type,extra_headers,assertion_profile,expected_status,pre_steps,notes
FR06-TC-001,Valid product odd ID,GET,/api/products/1,,inherit,,{},fr06_s200_schema_full,,[],
FR06-TC-002,Valid product even ID,GET,/api/products/2,,inherit,,{},fr06_s200_price_num,,[],
FR06-TC-003,Valid last seeded product,GET,/api/products/5,,inherit,,{},fr06_s200_keychron,,[],
FR06-TC-004,Valid category 2,GET,/api/products/3,,inherit,,{},fr06_s200_cat2,,[],
FR06-TC-005,Non-existent ID,GET,/api/products/99999,,inherit,,{},status_404,,[],
FR06-TC-006,ID zero,GET,/api/products/0,,inherit,,{},status_404,,[],
FR06-TC-007,Negative ID,GET,/api/products/-1,,inherit,,{},status_400,,[],
FR06-TC-008,Non-numeric ID,GET,/api/products/abc,,inherit,,{},status_400,,[],
FR06-TC-009,Decimal ID,GET,/api/products/1.5,,inherit,,{},status_400,,[],
FR06-TC-010,Very large non-existent ID,GET,/api/products/2147483647,,inherit,,{},status_404,,[],
FR06-TC-011,Empty ID segment (detail),GET,/api/products/,,inherit,,{},fr06_detail_not_array,,[],
FR06-TC-012,Leading-zero ID invalid format,GET,/api/products/01,,inherit,,{},status_400,,[],
FR06-TC-013,Schema id field,GET,/api/products/1,,inherit,,{},fr06_schema_id,,[],
FR06-TC-014,Schema name string,GET,/api/products/1,,inherit,,{},fr06_schema_name,,[],
FR06-TC-015,Schema price number,GET,/api/products/1,,inherit,,{},fr06_s200_price_num,,[],
FR06-TC-016,Schema description,GET,/api/products/1,,inherit,,{},fr06_schema_desc,,[],
FR06-TC-017,Schema imageUrl,GET,/api/products/1,,inherit,,{},fr06_schema_img,,[],
FR06-TC-018,Schema category_id,GET,/api/products/1,,inherit,,{},fr06_schema_cat,,[],
FR06-TC-019,No extra top-level keys,GET,/api/products/1,,inherit,,{},fr06_schema_keys,,[],
FR06-TC-020,Missing product error response,GET,/api/products/88888,,inherit,,{},status_404,,[],
FR06-TC-021,Public read without Authorization,GET,/api/products/1,,none,,{},fr06_public_200,,[],
FR06-TC-022,Invalid Bearer on public read,GET,/api/products/1,,invalid_garbage,,{},fr06_public_200,,[],
FR06-TC-023,SQLi OR 1=1 rejected,GET,/api/products/1'%20OR%20'1'='1,,inherit,,{},fr06_sqli_reject,,[],
FR06-TC-024,SQLi DROP rejected + DB intact,GET,/api/products/1%3BDROP%20TABLE%20products--,,inherit,,{},fr06_sqli_db_intact,,[],
FR06-TC-025,XSS path rejected,GET,/api/products/%3Cscript%3Ealert(1)%3C/script%3E,,inherit,,{},fr06_xss_reject,,[],
FR06-TC-026,Public catalog with user token,GET,/api/products/1,,user,,{},fr06_public_200,,[],
FR06-TC-027,Public read without admin role,GET,/api/products/1,,inherit,,{},status_200,,[],
FR06-TC-028,POST not allowed on detail URL,POST,/api/products/1,{},none,application/json,{},status_404_or_405,,[],
FR06-TC-029,PUT without auth rejected,PUT,/api/products/5,"{""name"":""Keychron Q1"",""price"":4000000,""description"":""test"",""imageUrl"":""http://x"",""category_id"":3}",none,application/json,{},status_401_403,,[],
FR06-TC-030,DELETE without auth rejected,DELETE,/api/products/99997,,none,,{},status_401_403,,[],
FR06-TC-031,Content-Type JSON,GET,/api/products/1,,inherit,,{},fr06_content_type,,[],
FR06-TC-032,Response time SLA,GET,/api/products/1,,inherit,,{},fr06_response_time,,[],
FR06-TC-033,Idempotent read pass 1,GET,/api/products/1,,inherit,,{},fr06_idempotent_p1,,[],
FR06-TC-033,Idempotent read pass 2,GET,/api/products/1,,inherit,,{},fr06_idempotent_p2,,[],
FR06-TC-034,Unicode id rejected,GET,/api/products/%E4%B8%AD,,inherit,,{},status_400,,[],
FR06-TC-035,Whitespace-padded id rejected,GET,/api/products/%2001%20,,inherit,,{},status_400,,[],
FR06-TC-036,Null byte id rejected,GET,/api/products/1%00,,inherit,,{},status_400,,[],
FR06-TC-037,Float id rejected,GET,/api/products/2.0,,inherit,,{},status_404,,[],
FR06-TC-038,List then detail integration,GET,/api/products,,inherit,,{},fr06_chain_list_detail,,[],
FR06-TC-039,CORS preflight OPTIONS,OPTIONS,/api/products/1,,inherit,,"{""Origin"":""http://localhost:5173""}",status_204,,[],
FR06-TC-040,Rate limit (SEC07),GET,/api/products/1,,inherit,,{},status_429,,[],
FR06-TC-EXT-001,Even ID price must be number,GET,/api/products/2,,inherit,,{},fr06_s200_price_num,,[],
FR06-TC-EXT-002,Missing ID must 404,GET,/api/products/77777,,inherit,,{},status_404,,[],
FR06-TC-EXT-003,Trailing slash must not return list,GET,/api/products/,,inherit,,{},fr06_not_array_only,,[],
FR06-TC-EXT-004,Leading-zero ID rejected,GET,/api/products/01,,inherit,,{},status_400,,[],
FR06-TC-EXT-005,Public read with garbage Bearer,GET,/api/products/1,,garbage,,{},status_200,,[],
FR06-TC-EXT-006,Schema parity id=1,GET,/api/products/1,,inherit,,{},fr06_parity_p1,,[],
FR06-TC-EXT-006,Schema parity id=2,GET,/api/products/2,,inherit,,{},fr06_parity_p2,,[],
