tc_id,description,method,path,body,auth_mode,content_type,extra_headers,assertion_profile,expected_status,pre_steps,notes
FR07-TC-001,GET cart no token,GET,/api/cart,,none,,{},status_401_403,,[],
FR07-TC-002,POST cart no token,POST,/api/cart,"{""id"":1,""name"":""iPhone 15 Pro Max"",""price"":30000000,""quantity"":1}",none,application/json,{},status_401_403,,[],
FR07-TC-003,GET cart invalid token,GET,/api/cart,,invalid,,{},status_403,,[],
FR07-TC-004,POST cart invalid token,POST,/api/cart,"{""id"":1,""name"":""iPhone 15 Pro Max"",""price"":30000000,""quantity"":1}",invalid,application/json,{},status_403,,[],
FR07-TC-005,GET empty cart fresh user,GET,/api/cart,,cartFresh,,{},fr07_s200_empty_cart,,[],
FR07-TC-006,GET cart returns array,GET,/api/cart,,user,,{},fr07_s200_array,,[],
FR07-TC-007,GET cart Content-Type json,GET,/api/cart,,user,,{},fr07_content_type,,[],
FR07-TC-008,POST valid item,POST,/api/cart,"{""id"":1,""name"":""iPhone 15 Pro Max"",""price"":30000000,""quantity"":2}",user,application/json,{},fr07_s200_added,,[],
FR07-TC-009,POST quantity 1 boundary,POST,/api/cart,"{""id"":1,""name"":""iPhone 15 Pro Max"",""price"":30000000,""quantity"":1}",cartFresh,application/json,{},status_200,,[],
FR07-TC-010,GET cart reflects added item,GET,/api/cart,,cartFresh,,{},fr07_cart_has_item,,"[{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""}]",
FR07-TC-011,POST quantity zero,POST,/api/cart,"{""id"":1,""name"":""iPhone 15 Pro Max"",""price"":30000000,""quantity"":0}",cartFresh,application/json,{},status_400,,[],
FR07-TC-012,POST quantity negative,POST,/api/cart,"{""id"":1,""name"":""iPhone 15 Pro Max"",""price"":30000000,""quantity"":-1}",user,application/json,{},status_400,,[],
FR07-TC-013,POST quantity decimal,POST,/api/cart,"{""id"":1,""name"":""X"",""price"":30000000,""quantity"":1.5}",user,application/json,{},status_400,,[],
FR07-TC-014,POST missing id,POST,/api/cart,"{""name"":""X"",""price"":100,""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-015,POST missing name,POST,/api/cart,"{""id"":1,""price"":100,""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-016,POST missing price,POST,/api/cart,"{""id"":1,""name"":""X"",""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-017,POST missing quantity,POST,/api/cart,"{""id"":1,""name"":""X"",""price"":100}",user,application/json,{},status_400,,[],
FR07-TC-018,POST price zero,POST,/api/cart,"{""id"":1,""name"":""X"",""price"":0,""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-019,POST price negative,POST,/api/cart,"{""id"":1,""name"":""X"",""price"":-100,""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-020,POST empty body,POST,/api/cart,{},user,application/json,{},status_400,,[],
FR07-TC-021,POST name empty string,POST,/api/cart,"{""id"":1,""name"":"""",""price"":100,""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-022,POST quantity string,POST,/api/cart,"{""id"":1,""name"":""X"",""price"":100,""quantity"":""abc""}",user,application/json,{},status_400,,[],
FR07-TC-023,POST price string,POST,/api/cart,"{""id"":1,""name"":""X"",""price"":""abc"",""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-024,Cart item price is number,GET,/api/cart,,cartFresh,,{},fr07_price_number,,"[{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""}]",
FR07-TC-025,Cart item quantity is number,GET,/api/cart,,cartFresh,,{},fr07_qty_number,,"[{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""}]",
FR07-TC-026,SQLi in product name,POST,/api/cart,"{""id"":1,""name"":""1; DROP TABLE products--"",""price"":100,""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-027,XSS in name not reflected,POST,/api/cart,"{""id"":3,""name"":""<script>alert(1)</script>"",""price"":100,""quantity"":1}",user,application/json,{},fr07_xss,,[],
