tc_id,description,method,path,body,auth_mode,content_type,extra_headers,assertion_profile,expected_status,pre_steps,notes
FR16-TC-001,No auth,POST,/api/admin/import-products,"{""products"":[{""name"":""NoAuth"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",none,application/json,{},status_401_403,,[],
FR16-TC-002,User token not admin,POST,/api/admin/import-products,"{""products"":[{""name"":""UserImport"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",user,application/json,{},status_403,,[],
FR16-TC-003,Admin valid import,POST,/api/admin/import-products,"{""products"":[{""name"":""ValidImport"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},fr16_s200_import_ok,,[],
FR16-TC-004,Empty products array,POST,/api/admin/import-products,"{""products"":[]}",admin,application/json,{},status_400,,[],
FR16-TC-005,Missing products key,POST,/api/admin/import-products,{},admin,application/json,{},status_400,,[],
FR16-TC-006,products not array,POST,/api/admin/import-products,"{""products"":""not-array""}",admin,application/json,{},status_400,,[],
FR16-TC-007,Missing product name,POST,/api/admin/import-products,"{""products"":[{""price"":1000,""category_id"":1}]}",admin,application/json,{},fr16_missing_name_ok,,[],
FR16-TC-008,Price zero rejected,POST,/api/admin/import-products,"{""products"":[{""name"":""ZeroPrice"",""price"":0,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-009,Price negative rejected,POST,/api/admin/import-products,"{""products"":[{""name"":""NegPrice"",""price"":-100,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-010,Price non-numeric rejected,POST,/api/admin/import-products,"{""products"":[{""name"":""Bad"",""price"":""abc"",""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-011,Price missing rejected,POST,/api/admin/import-products,"{""products"":[{""name"":""NoPrice"",""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-012,Empty name rejected,POST,/api/admin/import-products,"{""products"":[{""name"":"""",""price"":1000,""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-013,Partial failure rollback all,POST,/api/admin/import-products,"{""products"":[{""name"":""Good"",""price"":1000,""category_id"":1},{""price"":500,""category_id"":1}]}",admin,application/json,{},fr16_rollback,,[],
FR16-TC-014,Response schema fields,POST,/api/admin/import-products,"{""products"":[{""name"":""SchemaCheck"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},fr16_schema_fields,,[],
FR16-TC-015,inserted matches count,POST,/api/admin/import-products,"{""products"":[{""name"":""CountCheck"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},fr16_inserted_1,,[],
FR16-TC-016,Invalid token,POST,/api/admin/import-products,"{""products"":[{""name"":""X"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",garbage,application/json,{},status_403,,[],
FR16-TC-017,GET method not allowed,GET,/api/admin/import-products,,admin,,{},status_404_or_405,,[],
FR16-TC-018,PUT not allowed,PUT,/api/admin/import-products,{},admin,application/json,{},status_404_or_405,,[],
FR16-TC-019,SQLi in product name,POST,/api/admin/import-products,"{""products"":[{""name"":""1;DROP TABLE products--"",""price"":1000,""category_id"":1}]}",admin,application/json,{},status_200_or_400,,[],
FR16-TC-020,XSS name not reflected,POST,/api/admin/import-products,"{""products"":[{""name"":""<script>x</script>"",""price"":1000,""category_id"":1}]}",admin,application/json,{},fr16_no_script,,[],
FR16-TC-021,category_id missing defaults valid,POST,/api/admin/import-products,"{""products"":[{""name"":""NoCat"",""price"":1000}]}",admin,application/json,{},status_200,,[],
FR16-TC-022,category_id invalid,POST,/api/admin/import-products,"{""products"":[{""name"":""BadCat"",""price"":1000,""category_id"":99999}]}",admin,application/json,{},status_400,,[],
FR16-TC-023,Batch multiple valid,POST,/api/admin/import-products,"{""products"":[{""name"":""BatchA"",""price"":1000,""category_id"":1},{""name"":""BatchB"",""price"":2000,""category_id"":2}]}",admin,application/json,{},fr16_inserted_2,,[],
FR16-TC-024,Null products,POST,/api/admin/import-products,"{""products"":null}",admin,application/json,{},status_400,,[],
FR16-TC-025,Empty object in array,POST,/api/admin/import-products,"{""products"":[{}]}",admin,application/json,{},status_400,,[],
FR16-TC-026,Price float rejected,POST,/api/admin/import-products,"{""products"":[{""name"":""Float"",""price"":10.5,""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-027,Very long name,POST,/api/admin/import-products,"{""products"":[{""name"":""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"",""price"":1000,""category_id"":1}]}",admin,application/json,{},status_200_or_400,,[],
FR16-TC-028,Duplicate names in batch,POST,/api/admin/import-products,"{""products"":[{""name"":""Dup"",""price"":1000,""category_id"":1},{""name"":""Dup"",""price"":1000,""category_id"":1}]}",admin,application/json,{},status_200,,[],
FR16-TC-029,Rate limit SEC07,POST,/api/admin/import-products,"{""products"":[{""name"":""Rate"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},status_429,,[],
FR16-TC-030,Content-Type required,POST,/api/admin/import-products,not-json,admin,,{},status_400_or_415,,[],
FR16-TC-031,description optional,POST,/api/admin/import-products,"{""products"":[{""name"":""NoDesc"",""price"":1000,""category_id"":1}]}",admin,application/json,{},status_200,,[],
FR16-TC-032,imageUrl optional,POST,/api/admin/import-products,"{""products"":[{""name"":""NoImg"",""price"":1000,""category_id"":1}]}",admin,application/json,{},status_200,,[],
FR16-TC-033,Negative category_id,POST,/api/admin/import-products,"{""products"":[{""name"":""NegCat"",""price"":1000,""category_id"":-1}]}",admin,application/json,{},status_400,,[],
FR16-TC-034,Extra fields ignored,POST,/api/admin/import-products,"{""products"":[{""name"":""Extra"",""price"":1000,""category_id"":1,""foo"":""bar""}]}",admin,application/json,{},status_200,,[],
FR16-TC-035,Admin role required explicit,POST,/api/admin/import-products,"{""products"":[{""name"":""RoleCheck"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",user,application/json,{},status_403,,[],
FR16-TC-036,Price string number,POST,/api/admin/import-products,"{""products"":[{""name"":""StrNum"",""price"":""1000"",""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-037,Empty array element,POST,/api/admin/import-products,"{""products"":[null]}",admin,application/json,{},status_400,,[],
FR16-TC-038,Response time,POST,/api/admin/import-products,"{""products"":[{""name"":""Perf"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},fr16_response_time,,[],
FR16-TC-039,Name whitespace only,POST,/api/admin/import-products,"{""products"":[{""name"":""   "",""price"":1000,""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-040,Large batch 10 items,POST,/api/admin/import-products,"{""products"":[{""name"":""Bulk0"",""price"":1000,""category_id"":1},{""name"":""Bulk1"",""price"":1001,""category_id"":1},{""name"":""Bulk2"",""price"":1002,""category_id"":1},{""name"":""Bulk3"",""price"":1003,""category_id"":1},{""name"":""Bulk4"",""price"":1004,""category_id"":1},{""name"":""Bulk5"",""price"":1005,""category_id"":1},{""name"":""Bulk6"",""price"":1006,""category_id"":1},{""name"":""Bulk7"",""price"":1007,""category_id"":1},{""name"":""Bulk8"",""price"":1008,""category_id"":1},{""name"":""Bulk9"",""price"":1009,""category_id"":1}]}",admin,application/json,{},fr16_inserted_10,,[],
FR16-TC-EXT-001,Role escalation user import,POST,/api/admin/import-products,"{""products"":[{""name"":""Escalation"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",user,application/json,{},status_403,,[],
FR16-TC-EXT-002,No price validation zero,POST,/api/admin/import-products,"{""products"":[{""name"":""ExtZero"",""price"":0,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-EXT-003,Partial insert no rollback,POST,/api/admin/import-products,"{""products"":[{""name"":""Ok"",""price"":1000,""category_id"":1},{""name"":"""",""price"":1000,""category_id"":1}]}",admin,application/json,{},fr16_rollback,,[],
FR16-TC-EXT-004,Missing name reject batch,POST,/api/admin/import-products,"{""products"":[{""price"":1000,""category_id"":1}]}",admin,application/json,{},fr16_rollback,,[],
FR16-TC-EXT-005,Negative price check,POST,/api/admin/import-products,"{""products"":[{""name"":""ExtNeg"",""price"":-1,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",admin,application/json,{},status_400,,[],
FR16-TC-EXT-006,Admin middleware missing,POST,/api/admin/import-products,"{""products"":[{""name"":""NoRoleCheck"",""price"":10000,""description"":""d"",""imageUrl"":"""",""category_id"":1}]}",user,application/json,{},status_403,,[],
